,Feature
0,gap_up_down_opening_T
1,Pivot_T
2,RSI-14_T
3,japan_today_init_trend_strength_up_shadow_T
4,japan_today_init_trend_strength_low_shadow_T
5,Day_trend_T1
6,Day_trend_strength_low_shadow_T1
7,Day_trend_strength_up_shadow_T1
8,Change_in_Volume_T1
9,RSI-14_T1
10,CDLGAPSIDESIDEWHITE_T1
11,CDLGRAVESTONEDOJI_T1
12,CDLHIKKAKEMOD_T1
13,CDLHOMINGPIGEON_T1
14,CDLINVERTEDHAMMER_T1
15,CDLLADDERBOTTOM_T1
16,CDLMORNINGDOJISTAR_T1
17,CDLMORNINGSTAR_T1
18,CDLUNIQUE3RIVER_T1
19,US_day_trend_T1
20,US_trend_strength_up_shadow_T1
21,US_trend_strength_low_shadow_T1
22,Lon_day_trend_T1
23,Lon_trend_strength_up_shadow_T1
24,Lon_trend_strength_low_shadow_T1
25,Fran_trend_strength_up_shadow_T1
26,Fran_trend_strength_low_shadow_T1
27,Singp_trend_strength_up_shadow_T1
28,Singp_trend_strength_low_shadow_T1
29,China_trend_strength_low_shadow_T1
30,Honkon_trend_strength_up_shadow_T1
31,Honkon_trend_strength_low_shadow_T1
32,Japan_trend_strength_low_shadow_T1
33,Day_trend_strength_up_shadow_T2
34,Day_trend_strength_low_shadow_T2
35,Volume_T2
36,CDLGAPSIDESIDEWHITE_T2
37,CDLGRAVESTONEDOJI_T2
38,CDLMORNINGSTAR_T2
39,US_trend_strength_up_shadow_T2
40,US_trend_strength_low_shadow_T2
41,Lon_trend_strength_up_shadow_T2
42,Singp_trend_strength_up_shadow_T2
43,Singp_trend_strength_low_shadow_T2
44,China_trend_strength_up_shadow_T2
45,China_trend_strength_low_shadow_T2
46,Honkon_trend_strength_low_shadow_T2
47,Japan_trend_strength_up_shadow_T2
48,Day_trend_strength_up_shadow_T3
49,Day_trend_strength_low_shadow_T3
50,RSI-14_T3
51,CDLHIKKAKEMOD_T3
52,CDLHOMINGPIGEON_T3
53,CDLLADDERBOTTOM_T3
54,CDLPIERCING_T3
55,Day_trend_strength_up_shadow_T4
56,Day_trend_strength_low_shadow_T4
57,CDL3LINESTRIKE_T4
58,CDLGAPSIDESIDEWHITE_T4
59,CDLHIKKAKEMOD_T4
60,CDLINVERTEDHAMMER_T4
61,CDLMORNINGDOJISTAR_T4
62,CDLUNIQUE3RIVER_T4
63,OBV_T5
64,CDLENGULFING_T5
65,CDLGRAVESTONEDOJI_T5
66,CDLHOMINGPIGEON_T5
64,CDLPIERCING_T5
